Instance Type,vCPUs,Memory (GiB),Features,Family,CSP,Platform,Category,Min. CPU Architecture,Max. CPU Architecture,Min. Year,Max. Year,Link,,,,,
c2d-highmem-8,8,64,#ssd,C2D series,GCP,AMD,HPC Optimized,AMD EPYC 3rd gen,AMD EPYC 3rd gen,2021,2021,https://cloud.google.com/compute/docs/compute-optimized-machines#c2d_machine_types,,,,,
c2d-standard-112,112,448,#ssd,C2D series,GCP,AMD,HPC Optimized,AMD EPYC 3rd gen,AMD EPYC 3rd gen,2021,2021,https://cloud.google.com/compute/docs/compute-optimized-machines#c2d_machine_types,,,,,
c2d-standard-16,16,64,#ssd,C2D series,GCP,AMD,HPC Optimized,AMD EPYC 3rd gen,AMD EPYC 3rd gen,2021,2021,https://cloud.google.com/compute/docs/compute-optimized-machines#c2d_machine_types,,,,,
c2d-standard-2,2,8,#ssd,C2D series,GCP,AMD,HPC Optimized,AMD EPYC 3rd gen,AMD EPYC 3rd gen,2021,2021,https://cloud.google.com/compute/docs/compute-optimized-machines#c2d_machine_types,,,,,
c2d-standard-32,32,128,#ssd,C2D series,GCP,AMD,HPC Optimized,AMD EPYC 3rd gen,AMD EPYC 3rd gen,2021,2021,https://cloud.google.com/compute/docs/compute-optimized-machines#c2d_machine_types,,,,,
c2d-standard-4,4,16,#ssd,C2D series,GCP,AMD,HPC Optimized,AMD EPYC 3rd gen,AMD EPYC 3rd gen,2021,2021,https://cloud.google.com/compute/docs/compute-optimized-machines#c2d_machine_types,,,,,
c2d-standard-56,56,224,#ssd,C2D series,GCP,AMD,HPC Optimized,AMD EPYC 3rd gen,AMD EPYC 3rd gen,2021,2021,https://cloud.google.com/compute/docs/compute-optimized-machines#c2d_machine_types,,,,,
c2d-standard-8,8,32,#ssd,C2D series,GCP,AMD,HPC Optimized,AMD EPYC 3rd gen,AMD EPYC 3rd gen,2021,2021,https://cloud.google.com/compute/docs/compute-optimized-machines#c2d_machine_types,,,,,
c2-standard-16,16,64,#ssd,C2 series,GCP,Intel,Compute Optimized,Cascade Lake,Cascade Lake,2019,2019,https://cloud.google.com/compute/docs/compute-optimized-machines#c2_machine_types,,,,,
c2-standard-30,30,120,#ssd,C2 series,GCP,Intel,Compute Optimized,Cascade Lake,Cascade Lake,2019,2019,https://cloud.google.com/compute/docs/compute-optimized-machines#c2_machine_types,,,,,
c2-standard-4,4,16,#ssd,C2 series,GCP,Intel,Compute Optimized,Cascade Lake,Cascade Lake,2019,2019,https://cloud.google.com/compute/docs/compute-optimized-machines#c2_machine_types,,,,,
c2-standard-60,60,240,#ssd,C2 series,GCP,Intel,Compute Optimized,Cascade Lake,Cascade Lake,2019,2019,https://cloud.google.com/compute/docs/compute-optimized-machines#c2_machine_types,,,,,
c2-standard-8,8,32,#ssd,C2 series,GCP,Intel,Compute Optimized,Cascade Lake,Cascade Lake,2019,2019,https://cloud.google.com/compute/docs/compute-optimized-machines#c2_machine_types,,,,,
c3.2xlarge,8,15,#ssd,C3,AWS,Intel,Compute Optimized,Ivy Bridge,Ivy Bridge,2012,2012,https://aws.amazon.com/ec2/previous-generation/,,,,,
c3.4xlarge,16,30,#ssd,C3,AWS,Intel,Compute Optimized,Ivy Bridge,Ivy Bridge,2012,2012,https://aws.amazon.com/ec2/previous-generation/,,,,,
c3.8xlarge,32,60,#ssd,C3,AWS,Intel,Compute Optimized,Ivy Bridge,Ivy Bridge,2012,2012,https://aws.amazon.com/ec2/previous-generation/,,,,,
c3.large,2,3.75,#ssd,C3,AWS,Intel,Compute Optimized,Ivy Bridge,Ivy Bridge,2012,2012,https://aws.amazon.com/ec2/previous-generation/,,,,,
c3.xlarge,4,7.5,#ssd,C3,AWS,Intel,Compute Optimized,Ivy Bridge,Ivy Bridge,2012,2012,https://aws.amazon.com/ec2/previous-generation/,,,,,
c3-highcpu-176,176,352,,C3 series,GCP,Intel,General Purpose,Sapphire Rapids,Sapphire Rapids,2023,2023,https://cloud.google.com/compute/docs/general-purpose-machines#c3_series,,,,,
c3-highcpu-22,22,44,,C3 series,GCP,Intel,General Purpose,Sapphire Rapids,Sapphire Rapids,2023,2023,https://cloud.google.com/compute/docs/general-purpose-machines#c3_series,,,,,
c3-highcpu-4,4,8,,C3 series,GCP,Intel,General Purpose,Sapphire Rapids,Sapphire Rapids,2023,2023,https://cloud.google.com/compute/docs/general-purpose-machines#c3_series,,,,,
c3-highcpu-44,44,88,,C3 series,GCP,Intel,General Purpose,Sapphire Rapids,Sapphire Rapids,2023,2023,https://cloud.google.com/compute/docs/general-purpose-machines#c3_series,,,,,
c3-highcpu-8,8,16,,C3 series,GCP,Intel,General Purpose,Sapphire Rapids,Sapphire Rapids,2023,2023,https://cloud.google.com/compute/docs/general-purpose-machines#c3_series,,,,,
c3-highcpu-88,88,176,,C3 series,GCP,Intel,General Purpose,Sapphire Rapids,Sapphire Rapids,2023,2023,https://cloud.google.com/compute/docs/general-purpose-machines#c3_series,,,,,
c3-highmem-176,176,1408,,C3 series,GCP,Intel,General Purpose,Sapphire Rapids,Sapphire Rapids,2023,2023,https://cloud.google.com/compute/docs/general-purpose-machines#c3_series,,,,,
c3-highmem-22,22,176,,C3 series,GCP,Intel,General Purpose,Sapphire Rapids,Sapphire Rapids,2023,2023,https://cloud.google.com/compute/docs/general-purpose-machines#c3_series,,,,,
c3-highmem-4,4,32,,C3 series,GCP,Intel,General Purpose,Sapphire Rapids,Sapphire Rapids,2023,2023,https://cloud.google.com/compute/docs/general-purpose-machines#c3_series,,,,,
c3-highmem-44,44,352,,C3 series,GCP,Intel,General Purpose,Sapphire Rapids,Sapphire Rapids,2023,2023,https://cloud.google.com/compute/docs/general-purpose-machines#c3_series,,,,,
c3-highmem-8,8,64,,C3 series,GCP,Intel,General Purpose,Sapphire Rapids,Sapphire Rapids,2023,2023,https://cloud.google.com/compute/docs/general-purpose-machines#c3_series,,,,,
c3-highmem-88,88,704,,C3 series,GCP,Intel,General Purpose,Sapphire Rapids,Sapphire Rapids,2023,2023,https://cloud.google.com/compute/docs/general-purpose-machines#c3_series,,,,,
c3-standard-176,176,704,,C3 series,GCP,Intel,General Purpose,Sapphire Rapids,Sapphire Rapids,2023,2023,https://cloud.google.com/compute/docs/general-purpose-machines#c3_series,,,,,
c3-standard-176-lssd,176,704,#ssd,C3 series,GCP,Intel,General Purpose,Sapphire Rapids,Sapphire Rapids,2023,2023,https://cloud.google.com/compute/docs/general-purpose-machines#c3_series,,,,,
c3-standard-22,22,88,,C3 series,GCP,Intel,General Purpose,Sapphire Rapids,Sapphire Rapids,2023,2023,https://cloud.google.com/compute/docs/general-purpose-machines#c3_series,,,,,
c3-standard-22-lssd,22,88,#ssd,C3 series,GCP,Intel,General Purpose,Sapphire Rapids,Sapphire Rapids,2023,2023,https://cloud.google.com/compute/docs/general-purpose-machines#c3_series,,,,,
c3-standard-4,4,16,,C3 series,GCP,Intel,General Purpose,Sapphire Rapids,Sapphire Rapids,2023,2023,https://cloud.google.com/compute/docs/general-purpose-machines#c3_series,,,,,
c3-standard-44,44,176,,C3 series,GCP,Intel,General Purpose,Sapphire Rapids,Sapphire Rapids,2023,2023,https://cloud.google.com/compute/docs/general-purpose-machines#c3_series,,,,,
c3-standard-44-lssd,44,176,#ssd,C3 series,GCP,Intel,General Purpose,Sapphire Rapids,Sapphire Rapids,2023,2023,https://cloud.google.com/compute/docs/general-purpose-machines#c3_series,,,,,
c3-standard-4-lssd,4,16,#ssd,C3 series,GCP,Intel,General Purpose,Sapphire Rapids,Sapphire Rapids,2023,2023,https://cloud.google.com/compute/docs/general-purpose-machines#c3_series,,,,,
c3-standard-8,8,32,,C3 series,GCP,Intel,General Purpose,Sapphire Rapids,Sapphire Rapids,2023,2023,https://cloud.google.com/compute/docs/general-purpose-machines#c3_series,,,,,
c3-standard-88,88,352,,C3 series,GCP,Intel,General Purpose,Sapphire Rapids,Sapphire Rapids,2023,2023,https://cloud.google.com/compute/docs/general-purpose-machines#c3_series,,,,,
c3-standard-88-lssd,88,352,#ssd,C3 series,GCP,Intel,General Purpose,Sapphire Rapids,Sapphire Rapids,2023,2023,https://cloud.google.com/compute/docs/general-purpose-machines#c3_series,,,,,
c3-standard-8-lssd,8,32,#ssd,C3 series,GCP,Intel,General Purpose,Sapphire Rapids,Sapphire Rapids,2023,2023,https://cloud.google.com/compute/docs/general-purpose-machines#c3_series,,,,,
c4.12xlarge,24,48,,C4,AWS,Intel,Compute Optimized,Haswell,Haswell,2013,2013,https://aws.amazon.com/about-aws/whats-new/2015/01/11/amazon-ec2-c4-instances-now-available/,,,,,
c4.16xlarge,32,64,,C4,AWS,Intel,Compute Optimized,Haswell,Haswell,2013,2013,https://aws.amazon.com/about-aws/whats-new/2015/01/11/amazon-ec2-c4-instances-now-available/,,,,,
